,Vdrive,X,Y,endTime,freq,sensitivity,startTime
0,1.5,-0.000416439654167,-1.12057435417e-05,1543111718.22,400.0,0.05,1543111705.2
1,1.5,-0.0004224796,-2.813352625e-05,1543111723.99,399.9,0.05,1543111718.23
2,1.5,-0.0004231154,-2.82130129167e-05,1543111729.8,399.8,0.05,1543111724.0
3,1.5,-0.000424466420833,-3.051781e-05,1543111735.63,399.7,0.05,1543111729.8
4,1.5,-0.0004236717125,-3.07562104167e-05,1543111741.42,399.6,0.05,1543111735.64
5,1.5,-0.0004234333,-3.1471485e-05,1543111747.19,399.5,0.05,1543111741.42
6,1.5,-0.0004234333,-3.409409125e-05,1543111752.97,399.4,0.05,1543111747.19
7,1.5,-0.0004234333,-3.504776625e-05,1543111758.76,399.3,0.05,1543111752.98
8,1.5,-0.0004231154,-3.73524808333e-05,1543111764.51,399.2,0.05,1543111758.77
9,1.5,-0.00042383065,-3.86240429167e-05,1543111770.34,399.1,0.05,1543111764.51
10,1.5,-0.0004227975,-4.05313875e-05,1543111776.21,399.0,0.05,1543111770.35
0,1.5,-0.00042232065,-4.076980625e-05,1543111782.0,398.9,0.05,1543111776.23
1,1.5,-0.0004212874875,-4.37103041667e-05,1543111787.76,398.8,0.05,1543111782.0
2,1.5,-0.000420810675,-4.768395e-05,1543111793.56,398.7,0.05,1543111787.77
3,1.5,-0.0004196186,-5.00681375e-05,1543111799.36,398.6,0.05,1543111793.57
4,1.5,-0.000419459633333,-5.078339375e-05,1543111805.14,398.5,0.05,1543111799.36
5,1.5,-0.0004189828,-5.33265175e-05,1543111810.9,398.4,0.05,1543111805.14
6,1.5,-0.0004177112,-5.340599e-05,1543111816.65,398.3,0.05,1543111810.9
7,1.5,-0.000417313845833,-5.650543375e-05,1543111822.46,398.2,0.05,1543111816.66
8,1.5,-0.000417313858333,-6.06381308333e-05,1543111828.23,398.1,0.05,1543111822.46
9,1.5,-0.00041675755,-6.35787533333e-05,1543111834.0,398.0,0.05,1543111828.24
0,1.5,-0.000415724425,-6.485032e-05,1543111839.8,397.9,0.05,1543111834.01
1,1.5,-0.0004158039,-6.54861033333e-05,1543111845.56,397.8,0.05,1543111839.81
2,1.5,-0.000414611775,-6.75523991667e-05,1543111851.4,397.7,0.05,1543111845.56
3,1.5,-0.00041294285,-7.01750054167e-05,1543111857.21,397.6,0.05,1543111851.41
4,1.5,-0.000412863379167,-7.19234025e-05,1543111863.0,397.5,0.05,1543111857.22
5,1.5,-0.0004119892,-7.39896954167e-05,1543111868.76,397.4,0.05,1543111863.0
6,1.5,-0.000410320225,-7.629441e-05,1543111874.61,397.3,0.05,1543111868.77
7,1.5,-0.0004100818,-7.89964891667e-05,1543111880.39,397.2,0.05,1543111874.62
8,1.5,-0.0004100818,-8.010911e-05,1543111886.14,397.1,0.05,1543111880.39
