,Vdrive,X,Y,endTime,freq,sensitivity,startTime
0,1.5,2.52725208333e-05,2.83719908333e-05,1543082776.98,2.0,0.05,1543082771.2
1,1.5,3.71140395833e-05,2.988197625e-05,1543082782.8,2.1,0.05,1543082776.98
2,1.5,5.31676054167e-05,3.27430079167e-05,1543082788.64,2.2,0.05,1543082782.8
3,1.5,5.88102379167e-05,2.78156520833e-05,1543082794.37,2.3,0.05,1543082788.64
4,1.5,6.75523870833e-05,2.900773625e-05,1543082800.11,2.4,0.05,1543082794.38
5,1.5,5.17371029167e-05,2.72593333333e-05,1543082805.87,2.5,0.05,1543082800.12
6,1.5,6.68371029167e-05,2.36035754167e-05,1543082811.59,2.6,0.05,1543082805.87
7,1.5,5.94460866667e-05,2.113991625e-05,1543082817.33,2.7,0.05,1543082811.6
8,1.5,6.22275691667e-05,3.29019591667e-05,1543082823.16,2.8,0.05,1543082817.34
9,1.5,6.78702195833e-05,1.144416025e-05,1543082828.91,2.9,0.05,1543082823.17
10,1.5,6.763187e-05,7.232065e-06,1543082834.65,3.0,0.05,1543082828.92
0,1.5,5.9922865e-05,-3.52930394689e-23,1543082840.56,3.1,0.05,1543082834.66
1,1.5,7.29565520833e-05,9.13943266667e-06,1543082846.31,3.2,0.05,1543082840.57
2,1.5,6.81881604167e-05,5.563155e-07,1543082852.06,3.3,0.05,1543082846.31
3,1.5,7.82017608333e-05,-3.49682991667e-06,1543082857.8,3.4,0.05,1543082852.06
4,1.5,6.087656875e-05,-3.258403375e-06,1543082863.55,3.5,0.05,1543082857.8
5,1.5,6.008182125e-05,-5.48366054167e-06,1543082869.29,3.6,0.05,1543082863.55
6,1.5,6.898286e-05,-8.58311291667e-06,1543082875.02,3.7,0.05,1543082869.29
7,1.5,6.72344666667e-05,-1.16031034583e-05,1543082880.77,3.8,0.05,1543082875.02
8,1.5,5.97639208333e-05,-1.00931078333e-05,1543082886.54,3.9,0.05,1543082880.78
9,1.5,7.319492125e-05,-1.0013627875e-05,1543082892.41,4.0,0.05,1543082886.54
0,1.5,7.67712395833e-05,-2.86104044167e-05,1543082898.23,4.1,0.05,1543082892.42
1,1.5,6.15123904167e-05,-5.96050133333e-06,1543082903.98,4.2,0.05,1543082898.24
2,1.5,0.000102043597083,-3.87829408333e-05,1543082909.72,4.3,0.05,1543082903.98
3,1.5,8.63079908333e-05,-6.23070704167e-05,1543082915.61,4.4,0.05,1543082909.72
4,1.5,2.68619883333e-05,-7.55790875e-05,1543082921.37,4.5,0.05,1543082915.62
5,1.5,3.067671375e-05,-5.793607375e-05,1543082927.14,4.6,0.05,1543082921.37
6,1.5,1.89146425e-05,-5.70618420833e-05,1543082932.9,4.7,0.05,1543082927.14
7,1.5,2.18551520833e-05,-6.07970670833e-05,1543082938.69,4.8,0.05,1543082932.91
8,1.5,2.20140991667e-05,-6.56450491667e-05,1543082944.49,4.9,0.05,1543082938.7
9,1.5,-6.0399745e-06,-6.596285125e-05,1543082950.24,5.0,0.05,1543082944.5
0,1.5,-3.385562875e-05,-8.130120375e-05,1543082956.03,5.1,0.05,1543082950.25
1,1.5,-6.99365145833e-05,-7.70891008333e-05,1543082961.79,5.2,0.05,1543082956.04
2,1.5,-0.000125647357917,-7.23207325e-06,1543082967.6,5.3,0.05,1543082961.8
3,1.5,-5.19755470833e-05,0.000120243165,1543082973.4,5.4,0.05,1543082967.61
4,1.5,8.908953875e-05,7.255909625e-05,1543082979.29,5.5,0.05,1543082973.41
5,1.5,0.000149489383333,4.18824325e-05,1543082985.05,5.6,0.05,1543082979.29
6,1.5,0.000112375235,1.50999570833e-06,1543082990.78,5.7,0.05,1543082985.06
7,1.5,0.000109593528333,-1.89941066667e-05,1543082996.55,5.8,0.05,1543082990.79
8,1.5,9.179161875e-05,-3.82266783333e-05,1543083002.28,5.9,0.05,1543082996.56
9,1.5,8.60695729167e-05,-3.10740929167e-05,1543083008.01,6.0,0.05,1543083002.29
0,1.5,6.75523991667e-05,-3.60809133333e-05,1543083013.79,6.1,0.05,1543083008.02
1,1.5,5.45186545833e-05,-3.933929875e-05,1543083019.54,6.2,0.05,1543083013.79
2,1.5,5.96844270833e-05,-4.06903333333e-05,1543083025.32,6.3,0.05,1543083019.54
3,1.5,5.03860266667e-05,-4.06108625e-05,1543083031.11,6.4,0.05,1543083025.33
4,1.5,4.62534366667e-05,-4.64123816667e-05,1543083036.84,6.5,0.05,1543083031.11
5,1.5,3.71935320833e-05,-5.006813375e-05,1543083042.62,6.6,0.05,1543083036.84
6,1.5,3.94187725e-05,-5.47570904167e-05,1543083048.43,6.7,0.05,1543083042.62
7,1.5,3.07561966667e-05,-5.594912375e-05,1543083054.29,6.8,0.05,1543083048.43
8,1.5,2.78156575e-05,-5.34855166667e-05,1543083060.06,6.9,0.05,1543083054.3
9,1.5,2.320621e-05,-6.1591825e-05,1543083065.82,7.0,0.05,1543083060.06
0,1.5,1.61330904167e-05,-6.508873875e-05,1543083071.69,7.1,0.05,1543083065.82
1,1.5,1.27157334167e-05,-5.594913375e-05,1543083084.65,7.2,0.05,1543083071.7
2,1.5,5.40418833333e-06,-5.55517608333e-05,1543083090.49,7.3,0.05,1543083084.65
3,1.5,-6.51681391667e-06,-5.16575904167e-05,1543083096.27,7.4,0.05,1543083090.5
4,1.5,-2.05041125e-05,-5.80154575e-05,1543083102.09,7.5,0.05,1543083096.27
5,1.5,-2.662353625e-05,-5.29291566667e-05,1543083107.82,7.6,0.05,1543083102.09
6,1.5,-4.75250020833e-05,-4.25182104167e-05,1543083113.62,7.7,0.05,1543083107.83
7,1.5,-5.84923429167e-05,-2.24114625e-05,1543083119.43,7.8,0.05,1543083113.62
8,1.5,-5.912817625e-05,-9.69574858333e-06,1543083125.18,7.9,0.05,1543083119.43
9,1.5,-8.16985645833e-05,1.11262325e-06,1543083130.95,8.0,0.05,1543083125.19
0,1.5,-0.0001090372225,7.25591866667e-05,1543083136.74,8.1,0.05,1543083130.96
1,1.5,-4.824027625e-05,0.000229598454167,1543083142.52,8.2,0.05,1543083136.75
2,1.5,0.000200034120833,0.000281176845833,1543083148.34,8.3,0.05,1543083142.53
3,1.5,0.000254235541667,0.000145674679167,1543083154.16,8.4,0.05,1543083148.35
4,1.5,0.00024803665,4.045191875e-05,1543083159.95,8.5,0.05,1543083154.17
5,1.5,0.000178655925,4.76836458333e-07,1543083165.71,8.6,0.05,1543083159.95
