,Vdrive,X,Y,endTime,freq,sensitivity,startTime
0,1.5,0.00163158516667,0.00100502125,1542859791.87,100.0,0.05,1542859785.39
1,1.5,0.00140635904167,0.000858310620833,1542859799.36,99.9,0.05,1542859791.88
2,1.5,0.00125559925,0.0007067558875,1542859805.85,99.8,0.05,1542859799.36
3,1.5,0.00112486616667,0.000542564941667,1542859813.26,99.7,0.05,1542859805.85
4,1.5,0.0009748993125,0.000345073029167,1542859819.83,99.6,0.05,1542859813.26
5,1.5,0.0007538832625,0.00024557265,1542859826.88,99.5,0.05,1542859819.84
6,1.5,0.000630302979167,-8.02680545833e-05,1542859834.19,99.4,0.05,1542859826.89
7,1.5,0.000615543268,-0.000438997216,1542859841.37,99.3,0.05,1542859834.2
8,1.5,0.00069888805,-0.000798467545833,1542859847.88,99.2,0.05,1542859841.38
9,1.5,0.000912749525,-0.0010426915,1542859854.84,99.1,0.05,1542859847.88
10,1.5,0.000995722895833,-0.0012238895,1542859861.87,99.0,0.05,1542859854.85
0,1.5,0.00121912125,-0.00145134075,1542859868.84,98.9,0.05,1542859861.91
1,1.5,0.00142098220833,-0.00164843325,1542859875.92,98.8,0.05,1542859868.85
2,1.5,0.00168610366667,-0.00194884404167,1542859882.87,98.7,0.05,1542859875.92
3,1.5,0.002064243,-0.00213592741667,1542859890.26,98.6,0.05,1542859882.87
4,1.5,0.00241662575,-0.00217908120833,1542859896.81,98.5,0.05,1542859890.26
5,1.5,0.00277576345833,-0.002087290125,1542859903.85,98.4,0.05,1542859896.81
6,1.5,0.00313657033333,-0.00206424291667,1542859910.85,98.3,0.05,1542859903.86
7,1.5,0.00336584941667,-0.001975869125,1542859918.33,98.2,0.05,1542859910.85
8,1.5,0.00355316695833,-0.00175262241667,1542859924.84,98.1,0.05,1542859918.34
9,1.5,0.00356794895833,-0.00142821433333,1542859931.84,98.0,0.05,1542859924.85
0,1.5,0.00364225616667,-0.00128722929167,1542859938.87,97.9,0.05,1542859931.85
1,1.5,0.00377497575,-0.001038956,1542859945.84,97.8,0.05,1542859938.88
2,1.5,0.00386152170833,-0.000832640875,1542859952.92,97.7,0.05,1542859945.85
3,1.5,0.0038532565,-0.0005927917875,1542859959.87,97.6,0.05,1542859952.92
4,1.5,0.00384546829167,-0.000372650095833,1542859967.28,97.5,0.05,1542859959.88
5,1.5,0.00381463270833,-0.000152111983333,1542859973.82,97.4,0.05,1542859967.29
6,1.5,0.00379309558333,2.733880625e-05,1542859981.28,97.3,0.05,1542859973.83
7,1.5,0.00375971691667,0.000196298875,1542859987.86,97.2,0.05,1542859981.28
8,1.5,0.00370503975,0.0002570170875,1542859995.33,97.1,0.05,1542859987.87
9,1.5,0.00359846654167,0.000465474395833,1542860001.87,97.0,0.05,1542859995.34
0,1.5,0.00337141258333,0.000719868891667,1542860008.86,96.9,0.05,1542860001.88
1,1.5,0.003292337125,0.000894073379167,1542860015.88,96.8,0.05,1542860008.87
2,1.5,0.00315945841667,0.00106565908333,1542860022.84,96.7,0.05,1542860015.88
3,1.5,0.00307950883333,0.00120831266667,1542860029.84,96.6,0.05,1542860022.84
4,1.5,0.00293526545833,0.001366463875,1542860036.85,96.5,0.05,1542860029.84
5,1.5,0.002736344875,0.00148328908333,1542860043.88,96.4,0.05,1542860036.85
6,1.5,0.00262921545833,0.001579053625,1542860050.86,96.3,0.05,1542860043.88
7,1.5,0.002458825625,0.00165344025,1542860058.39,96.2,0.05,1542860050.87
8,1.5,0.002210234625,0.00171097875,1542860064.81,96.1,0.05,1542860058.39
9,1.5,0.00206924979167,0.0017871135,1542860072.32,96.0,0.05,1542860064.82
0,1.5,0.00190997866667,0.00182518116667,1542860078.84,95.9,0.05,1542860072.33
1,1.5,0.00169063366667,0.001828280625,1542860085.84,95.8,0.05,1542860078.85
2,1.5,0.001545277625,0.00185116870833,1542860092.85,95.7,0.05,1542860085.84
3,1.5,0.00139563029167,0.001848705125,1542860099.84,95.6,0.05,1542860092.86
4,1.5,0.00125861941667,0.00183392320833,1542860106.91,95.5,0.05,1542860099.84
5,1.5,0.00114934391667,0.00181508804167,1542860113.82,95.4,0.05,1542860106.91
6,1.5,0.00105159229167,0.001794663625,1542860120.86,95.3,0.05,1542860113.82
7,1.5,0.00089462652,0.00172097012,1542860127.86,95.2,0.05,1542860120.86
8,1.5,0.000765168408333,0.00166194358333,1542860135.29,95.1,0.05,1542860127.86
9,1.5,0.00069562965,0.00165431425,1542860141.81,95.0,0.05,1542860135.3
0,1.5,0.000597003864,0.00158829488,1542860149.15,94.9,0.05,1542860141.82
1,1.5,0.0005475717375,0.001566576375,1542860155.84,94.8,0.05,1542860149.16
2,1.5,0.000451884529167,0.00148924945833,1542860162.87,94.7,0.05,1542860155.86
3,1.5,0.000363272329167,0.00141486270833,1542860169.87,94.6,0.05,1542860162.87
4,1.5,0.000277600566667,0.00134246320833,1542860176.87,94.5,0.05,1542860169.87
5,1.5,0.000225783329167,0.00129334879167,1542860183.82,94.4,0.05,1542860176.87
6,1.5,0.000184060054167,0.001232711,1542860190.84,94.3,0.05,1542860183.82
7,1.5,0.000127157420833,0.00116174191667,1542860197.91,94.2,0.05,1542860190.84
8,1.5,7.85196525e-05,0.00107885158333,1542860204.81,94.1,0.05,1542860197.92
9,1.5,5.25317941667e-05,0.00100414703333,1542860212.21,94.0,0.05,1542860204.83
0,1.5,1.90736183333e-06,0.000905199595833,1542860218.84,93.9,0.05,1542860212.22
1,1.5,-1.2079940125e-05,0.000817461545833,1542860226.33,93.8,0.05,1542860218.85
2,1.5,5.32471498333e-05,0.00080665325,1542860232.85,93.7,0.05,1542860226.33
3,1.5,8.99637416667e-05,0.0007639763125,1542860239.84,93.6,0.05,1542860232.85
4,1.5,8.082436625e-05,0.000676158804167,1542860246.84,93.5,0.05,1542860239.84
5,1.5,0.00010204358625,0.000607335304167,1542860253.87,93.4,0.05,1542860246.84
6,1.5,0.000127634329167,0.000541929154167,1542860261.22,93.3,0.05,1542860253.87
7,1.5,0.000151953029167,0.00046650755,1542860267.88,93.2,0.05,1542860261.22
8,1.5,0.000194931936,0.000400392476,1542860274.83,93.1,0.05,1542860267.88
9,1.5,0.0002391349,0.000333787883333,1542860281.85,93.0,0.05,1542860274.83
0,1.5,0.000279666858333,0.000289044670833,1542860289.3,92.9,0.05,1542860281.86
1,1.5,0.0003307679,0.0002707659,1542860295.87,92.8,0.05,1542860289.31
2,1.5,0.0003881473,0.00027386535,1542860303.23,92.7,0.05,1542860295.87
3,1.5,0.000418585425,0.0002629775625,1542860309.86,92.6,0.05,1542860303.23
4,1.5,0.000447275104167,0.000276726383333,1542860317.33,92.5,0.05,1542860309.87
5,1.5,0.000469289095833,0.000288249941667,1542860323.9,92.4,0.05,1542860317.33
6,1.5,0.000476282729167,0.000300250308333,1542860330.89,92.3,0.05,1542860323.91
7,1.5,0.00048629685,0.000317654875,1542860337.83,92.2,0.05,1542860330.89
8,1.5,0.000494245441667,0.0003321984125,1542860344.85,92.1,0.05,1542860337.83
9,1.5,0.00049480175,0.000348013525,1542860351.95,92.0,0.05,1542860344.85
0,1.5,0.000468573829167,0.000340384120833,1542860358.88,91.9,0.05,1542860351.96
1,1.5,0.000481416676,0.000371629632,1542860366.27,91.8,0.05,1542860358.88
2,1.5,0.000470640145833,0.000368676433333,1542860372.87,91.7,0.05,1542860366.28
3,1.5,0.0004514871625,0.000356596595833,1542860380.37,91.6,0.05,1542860372.87
4,1.5,0.000445208808333,0.0003392715125,1542860386.86,91.5,0.05,1542860380.39
5,1.5,0.000459593395833,0.000324012716667,1542860393.89,91.4,0.05,1542860386.87
6,1.5,0.000480971616667,0.000344993558333,1542860401.25,91.3,0.05,1542860393.89
7,1.5,0.0004628518,0.000354212404167,1542860407.85,91.2,0.05,1542860401.26
8,1.5,0.0004466393125,0.000361285495833,1542860414.88,91.1,0.05,1542860407.86
9,1.5,0.000423274333333,0.0003569939625,1542860421.86,91.0,0.05,1542860414.88
0,1.5,0.000399511916667,0.000350874541667,1542860428.95,90.9,0.05,1542860421.87
1,1.5,0.000381630541667,0.0003387151875,1542860435.85,90.8,0.05,1542860428.96
2,1.5,0.000367007516667,0.000321707991667,1542860443.26,90.7,0.05,1542860435.85
3,1.5,0.0003585834,0.0003017603,1542860449.87,90.6,0.05,1542860443.26
4,1.5,0.000359934475,0.000273626945833,1542860456.91,90.5,0.05,1542860449.88
5,1.5,0.000390293066667,0.000246923866667,1542860463.83,90.4,0.05,1542860456.92
6,1.5,0.000431777929167,0.000282368945833,1542860470.91,90.3,0.05,1542860463.84
7,1.5,0.000408730795833,0.000287773108333,1542860477.82,90.2,0.05,1542860470.92
8,1.5,0.000399591404167,0.000294210395833,1542860484.85,90.1,0.05,1542860477.82
9,1.5,0.000389736741667,0.000300250308333,1542860491.88,90.0,0.05,1542860484.85
0,1.5,0.00037622635,0.000295084604167,1542860498.86,89.9,0.05,1542860491.89
1,1.5,0.000360967625,0.000281494745833,1542860505.96,89.8,0.05,1542860498.88
2,1.5,0.000349364554167,0.0002697327625,1542860512.86,89.7,0.05,1542860505.96
3,1.5,0.000334741545833,0.0002546329,1542860520.2,89.6,0.05,1542860512.87
4,1.5,0.000325920075,0.00024032695,1542860526.87,89.5,0.05,1542860520.21
5,1.5,0.000315032266667,0.000227134354167,1542860534.18,89.4,0.05,1542860526.87
6,1.5,0.000306449191667,0.000208617175,1542860540.84,89.3,0.05,1542860534.19
7,1.5,0.000297468729167,0.000184854758333,1542860548.34,89.2,0.05,1542860540.84
8,1.5,0.000290077841667,0.000160933475,1542860554.85,89.1,0.05,1542860548.35
9,1.5,0.000288567841667,0.000133912691667,1542860561.86,89.0,0.05,1542860554.86
0,1.5,0.000279269508333,9.40168604167e-05,1542860568.88,88.9,0.05,1542860561.89
1,1.5,0.000282527891667,6.485032e-05,1542860575.88,88.8,0.05,1542860568.88
2,1.5,0.000285112352,1.9607658e-05,1542860582.93,88.7,0.05,1542860575.88
3,1.5,0.0002950051125,-2.74977291667e-05,1542860589.86,88.6,0.05,1542860582.94
4,1.5,0.000315191220833,-7.24002416667e-05,1542860596.93,88.5,0.05,1542860589.86
5,1.5,0.000353735579167,-0.000126442229167,1542860603.87,88.4,0.05,1542860596.93
6,1.5,0.000411512354167,-0.000185252125,1542860611.3,88.3,0.05,1542860603.88
7,1.5,0.000501636416667,-0.0002373863625,1542860618.18,88.2,0.05,1542860611.31
8,1.5,0.0006468333375,-0.0002614675625,1542860625.35,88.1,0.05,1542860618.18
9,1.5,0.000805699566667,-0.000220220225,1542860631.82,88.0,0.05,1542860625.35
0,1.5,0.000969811041667,-9.36989683333e-05,1542860639.35,87.9,0.05,1542860631.83
1,1.5,0.00103768445833,7.05723683333e-05,1542860646.21,87.8,0.05,1542860639.35
2,1.5,0.00103283670833,0.000241121791667,1542860652.85,87.7,0.05,1542860646.21
3,1.5,0.000962737945833,0.000372570608333,1542860659.88,87.6,0.05,1542860652.85
4,1.5,0.000874999883333,0.000455778708333,1542860666.89,87.5,0.05,1542860659.88
